City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ribeira grande,38.5167,-28.7,293.02,84,86,6.26,PT,1686524657
83,paka,4.6374,103.4368,297.11,100,92,0.0,MY,1686524657
84,hawaiian paradise park,19.5933,-154.9731,301.5,73,47,0.45,US,1686524519
85,puerto ayora,-0.7393,-90.3518,303.13,87,96,4.02,EC,1686524618
86,labrador city,52.9463,-66.9114,288.1,77,75,5.66,CA,1686524415
87,mount pearl,47.5166,-52.7813,281.4,97,100,9.77,CA,1686524658
88,enewetak,11.3474,162.3373,301.1,80,87,7.29,MH,1686524658
89,konarka,19.9,86.1167,302.37,86,70,6.26,IN,1686524658
90,iskateley,67.6803,53.1512,276.59,60,100,3.8,RU,1686524658
91,mangrol,21.1167,70.1167,302.18,70,90,12.1,IN,1686524658
92,amos,48.5669,-78.1162,291.14,65,86,0.9,CA,1686524405
93,firuzabad,28.8438,52.5707,298.75,23,0,2.6,IR,1686524659
94,bredasdorp,-34.5322,20.0403,286.91,86,100,7.58,ZA,1686524659
95,danville,36.586,-79.395,299.87,81,100,2.57,US,1686524659
96,hithadhoo,-0.6,73.0833,300.61,77,64,2.89,MV,1686524659
97,labasa,-16.4167,179.3833,299.78,67,35,3.24,FJ,1686524659
98,libreville,0.3925,9.4537,300.16,78,75,4.63,GA,1686524659
99,mechanicsburg,40.2143,-77.0086,301.85,39,100,4.41,US,1686524660
100,west island,-12.1568,96.8225,299.14,73,40,10.89,CC,1686524660
101,shagonar,51.5333,92.8,288.03,86,98,0.42,RU,1686524660
102,cavalaire-sur-mer,43.174,6.5272,294.05,94,100,1.63,FR,1686524660
103,tezu,27.9167,96.1667,295.74,99,100,1.04,IN,1686524660
104,lompoc,34.6391,-120.4579,294.05,71,100,4.12,US,1686524444
105,st. john's,47.5649,-52.7093,281.86,97,100,9.77,CA,1686524641
106,matadi,-5.8167,13.45,296.72,94,99,1.51,CD,1686524660
107,kendari,-3.945,122.4989,296.82,94,100,0.62,ID,1686524661
108,enoch,37.7733,-113.0244,297.29,20,0,8.75,US,1686524661
109,issia,6.4922,-6.5856,295.26,98,100,1.9,CI,1686524661
110,gutao,37.2025,112.1781,291.67,55,0,1.91,CN,1686524661
111,vrangel',42.7297,133.0839,287.0,98,100,4.86,RU,1686524661
112,pisco,-13.7,-76.2167,294.18,73,0,8.23,PE,1686524661
113,palmer,42.1584,-72.3287,298.39,48,99,2.52,US,1686524480
114,buala,-8.145,159.5921,301.9,76,30,4.04,SB,1686524662
115,miyaly,48.8844,53.7836,300.44,20,100,6.68,KZ,1686524662
116,caconda,-13.7333,15.0667,285.77,39,18,0.88,AO,1686524662
117,victoria falls,-17.9235,25.843,289.54,44,2,1.22,ZW,1686524662
118,sao joao nepomuceno,-21.54,-43.0106,291.72,66,0,1.16,BR,1686524663
119,fortuna,40.5982,-124.1573,289.78,85,75,4.63,US,1686524663
120,kristiansund,63.1115,7.732,287.51,72,75,3.09,NO,1686524663
121,borogontsy,62.6683,131.1683,291.86,88,100,2.77,RU,1686524663
122,kulhudhuffushi,6.6221,73.07,301.8,77,76,8.45,MV,1686524663
123,aswan,24.0934,32.907,304.76,20,0,0.0,EG,1686524437
124,georgetown,5.4112,100.3354,301.11,89,20,1.03,MY,1686524663
125,isangel,-19.55,169.2667,297.21,73,40,2.06,VU,1686524540
126,deschutes river woods,43.9915,-121.3584,300.16,32,0,6.17,US,1686524664
127,saipan,15.1355,145.701,302.95,100,100,5.36,MP,1686524492
